image1,image2,image3,image4,video,name,description,category,subcategory,price,discountPercentage,sizes,bestseller,ecoFriendly,quantity
,,,,,Women A-Line Regular Rayon Kurta,"Rayon Kurta: Plum V-neck with gold buttons, three-quarter sleeves and subtle patterned cuffs",Indian Wear,Suit Set,1199,0,"S,M,L,XL",FALSE,FALSE,50
,,,,,Women A-Line Regular Rayon Kurta with Trouser and Dupatta,"brown rayon kurta set with a V-neck, button detailing, straight pants, and a matching patterned dupatta",Indian Wear,Suit Set,1399,0,"S,M,L,XL",FALSE,FALSE,50
,,,,,Women Anarkali Pure Cotton Kurta with Trousers ,red kurta with a geometric and floral print pattern paired with beige palazzo pants featuring a brown floral design,Indian Wear,Top,1599,0,"S,M,L,XL",TRUE,FALSE,50
,,,,,Women Embroidered Printed Regular Flex Cotton Kurta with Palazzos ,cream-colored flex cotton kurta with colorful floral embroidery on the sleeves and one side of the front panel Paired with matching straight-fit pants,Indian Wear,Kurta Set,1499,0,"S,M,L,XL",FALSE,FALSE,50
,,,,,Women Embroidered Printed Regular Flex Cotton Kurta with Palazzos ,cream-colored flex cotton kurta set featuring red floral line embroidery paired with matching straight pants,Indian Wear,Kurta Set,1499,0,"S,M,L,XL",FALSE,FALSE,50
,,,,,Women Embroidered Printed Sleeveless Flex Cotton Kurta with Palazzos ,"sleeveless mustard yellow flex cotton kurta set with colorful, appliqué floral designs and straight-fit pants",Indian Wear,Kurta Set,1699,0,"S,M,L,XL",FALSE,FALSE,50
,,,,,Women Embroidered Printed Sleeveless Flex Cotton Kurta with Palazzos ,"sleeveless blue flex cotton kurta set with colorful, appliqué floral designs and straight-fit pants",Indian Wear,Kurta Set,1699,0,"S,M,L,XL",TRUE,FALSE,50
,,,,,Women Embroidered Printed Sleeveless Flex Cotton Kurta with Palazzos ,"Green flex cotton kurta with white embroidery on the front yoke, sleeves, and placket paired with straight fit pant",Indian Wear,Kurta Set,1899,0,"S,M,L,XL",FALSE,FALSE,50
,,,,,Women Embroidered Printed Sleeveless Flex Cotton Kurta with Palazzos ,sleeveless sky blue flex cotton kurta set with colorful geometric floral embroidery on the front paired with matching straight-fit pants,Indian Wear,Kurta Set,1699,0,"S,M,L,XL",FALSE,FALSE,50
,,,,,Women Embroidered Printed Sleeveless Flex Cotton Kurta with Palazzos ,"blue flex cotton kurta with white embroidery on the front yoke, sleeves, and placket paired with straight fit pant",Indian Wear,Kurta Set,1899,0,"S,M,L,XL",FALSE,FALSE,50
,,,,,Women Embroidered Printed Sleeveless Flex Cotton Kurta with Palazzos & Dupatta,sleeveless light pink flex cotton kurta set with colorful geometric floral embroidery on the front paired with matching straight-fit pants,Indian Wear,Kurta Set,1699,0,"S,M,L,XL",FALSE,FALSE,50
,,,,,Women Ethnic Motifs Printed Straight Kurta,deep maroon kurta in cotton fabric with a mandala-style floral print in contrasting shade,Western Wear,Kurta,1199,0,"S,M,L,XL",FALSE,FALSE,50
,,,,,Women Ethnic Motifs Printed Straight Kurta,a  vibrant mustard and brown fan-like floral print throughout cotton kurta,Western Wear,Kurta,1199,0,"S,M,L,XL",FALSE,FALSE,50
,,,,,Women Ethnic Motifs Printed Straight Kurta,a  vibrant red and green fan-like floral print throughout cotton kurta,Western Wear,Kurta,1199,0,"S,M,L,XL",FALSE,FALSE,50
,,,,,Women Ethnic Motifs Printed Straight Kurta,black kurta in cotton fabric with a mandala-style floral print in contrasting shade,Western Wear,Kurta,1199,0,"S,M,L,XL",FALSE,FALSE,50
,,,,,Women Etnic Motifs Regular Pure Cotton Kurta with Trousers & With Dupatta,mustard yellow and cream cotton salwar kameez set featuring traditional block prints,Indian Wear,Suit Set,1399,0,"S,M,L,XL",FALSE,FALSE,50
,,,,,Women Floral Embroidered Flared Sleeve Fit & Flare Dress,"Navy blue knee-length dress with beige floral embroidery, bell sleeves, and tassel ties.",Western Wear,Top,1599,0,"S,M,L,XL",FALSE,FALSE,50
,,,,,Women Floral Embroidered Flared Sleeve Fit & Flare Dress,Pastel striped embroidered dress with bell sleeves and pom-pom trim.,Western Wear,Top,1599,0,"S,M,L,XL",FALSE,FALSE,50
,,,,,Women Floral Embroidered Flared Sleeve Fit & Flare Dress,Pastel striped embroidered dress with bell sleeves and pom-pom trim.,Western Wear,Top,1599,0,"S,M,L,XL",TRUE,FALSE,50
,,,,,Women Floral Embroidered Roman Silk Kurta with Trousers & With Dupatta,"olive green Roman silk suit set featuring a flared, pleated kurta with decorative buttons, and intricate white embroidery ,paired with a matching solid dupatta with scalloped edges and straight pants",Indian Wear,Suit Set,4999,0,"S,M,L,XL",TRUE,FALSE,50
,,,,,Women Floral Embroidered Roman Silk Kurta with Trousers & With Dupatta,"vibrant orange Roman silk suit featuring a pleated kurta with gold buttons, and colorful floral embroidery, paired with a matching plain dupatta and straight pants",Indian Wear,Suit Set,4999,0,"S,M,L,XL",TRUE,FALSE,50
,,,,,Women Floral Embroidered Roman Silk Kurta with Trousers & With Dupatta,"olive green Roman silk suit with a pleated kurta with red buttons, and colorful floral embroidery, paired with a matching plain dupatta with scalloped edges and straight pants",Indian Wear,Suit Set,4999,0,"S,M,L,XL",FALSE,FALSE,50
,,,,,Women Floral Embroidered Roman Silk Kurta with Trousers & With Dupatta,"vibrant red Roman silk suit featuring a pleated kurta with gold buttons, and colorful, bold floral embroidery, paired with a matching plain dupatta and straight pants",Indian Wear,Suit Set,4999,0,"S,M,L,XL",TRUE,FALSE,50
,,,,,Women Floral Embroidered Roman Silk Kurta with Trousers & With Dupatta,"deep maroon Roman silk suit with a pleated kurta with white buttons, and intricate white embroidery, paired with a matching plain dupatta with scalloped edges and straight pants",Indian Wear,Suit Set,4999,0,"S,M,L,XL",FALSE,FALSE,50
,,,,,Women Floral Printed Regular Cotton Kurta with Trousers,turquoise blue kurta set with white floral prints and paired with matching printed straight pants,Indian Wear,Kurta Set,1499,0,"S,M,L,XL",FALSE,FALSE,50
,,,,,Women Floral Printed Regular Cotton Kurta with Trousers,brown kurta set with bold white floral prints paired with matching printed straight pants ,Indian Wear,Kurta Set,1499,0,"S,M,L,XL",FALSE,FALSE,50
,,,,,Women Floral Printed Straight Kurta,"vibrant floral print in pink, peach, and beige tones",Western Wear,Kurta,1199,0,"S,M,L,XL",FALSE,FALSE,50
,,,,,Women Floral Printed Straight Kurta,"red A-line design with large beige floral prints, featuring a round neckline and three-quarter sleeves.",Indian Wear,Kurta,1199,0,"S,M,L,XL",FALSE,FALSE,50
,,,,,Women Floral Printed Straight Kurta,"mustard yellow kurta with an abstract floral print, featuring a round neckline and three-quarter sleeves.",Indian Wear,Kurta,1199,0,"S,M,L,XL",FALSE,FALSE,50
,,,,,Women Floral Printed Straight Kurta,"kurta features a dark teal base with a vibrant pink and peach floral print, a round neckline, and three-quarter sleeves.",Western Wear,Kurta,1199,0,"S,M,L,XL",FALSE,FALSE,50
,,,,,Women Floral Printed Straight Kurta,"light turquoise color kurta with bright pink floral prints, featuring a round neckline, front buttons, and three-quarter sleeves with lace trim",Western Wear,Kurta,1199,0,"S,M,L,XL",FALSE,FALSE,50
,,,,,Women Floral Printed Straight Kurta,"mustard yellow kurta with a floral print in shades of pink and white, front buttons, and three-quarter sleeves with lace detailing.",Western Wear,Kurta,1199,0,"S,M,L,XL",FALSE,FALSE,50
,,,,,Women Floral Printed Straight Kurta,"bright red kurta  with a white abstract floral print, front buttons, and three-quarter sleeves with lace trim.",Indian Wear,Kurta,1199,0,"S,M,L,XL",FALSE,FALSE,50
,,,,,Women Geometric Printed V-Neck Regular Cotton Kurta with Trousers,"Black ikat print kurta set with a V-neck, three-quarter sleeves, and matching straight pants.",Indian Wear,Kurta Set,1499,0,"S,M,L,XL",FALSE,FALSE,50
,,,,,Women Geomtric Print Regular Pure Cotton Kurta with Trousers & With Dupatta,"patchwork-style kurta in muted shades of beige, brown, and lavender, paired with mustard pants and a matching dupatta featuring large leaf motifs",Indian Wear,Suit Set,1399,0,"S,M,L,XL",FALSE,FALSE,50
,,,,,Women Printed Regular Pure Cotton Kurta with Trousers,"navy blue and beige printed kurta with a geometric floral pattern, three-quarter sleeves, side slits, and paired with solid navy blue pants featuring a matching printed border.",Indian Wear,Kurta Set,1299,0,"S,M,L,XL",FALSE,FALSE,50
,,,,,Women Printed Regular Pure Cotton Kurta with Trousers,"red and beige printed kurta with a geometric floral pattern, three-quarter sleeves, side slits, and paired with solid navy blue pants featuring a matching printed border.",Indian Wear,Kurta Set,1299,0,"S,M,L,XL",FALSE,FALSE,50
,,,,,Women Printed Regular Pure Cotton Kurta with Trousers,"deep purple kurta with a gold paisley print, featuring a round neckline, three-quarter sleeves, side slits, and paired with matching purple pants.",Indian Wear,Kurta Set,1299,0,"S,M,L,XL",FALSE,FALSE,50
,,,,,WomenFloral Print Regular Pure Cotton Kurta with Trousers & With Dupatta,WhiteFloral Print Cotton Kurta with Straight fit pants  & With printed Dupatta,Indian Wear,Plazo Pants,1399,0,"S,M,L,XL",FALSE,FALSE,50
,,,,,Women Thread Work Embroidery kurta,"turquoise blue kurta with white block prints and embroidery, featuring a round neckline with three-quarter sleeves and side slits",Western Wear,Kurta,1199,0,"S,M,L,XL",FALSE,FALSE,50
,,,,,Women Yoke Design Rayon Kurta,"deep blue rayon kurta with a mandarin collar, three-quarter sleeves featuring printed cuffs, and a patterned placket",Indian Wear,Kurta,799,0,"S,M,L,XL",FALSE,FALSE,50
,,,,,Women Yoke Design Rayon Kurta,"pink rayon kurta with a mandarin collar, three-quarter sleeves featuring printed cuffs, and a patterned placket",Western Wear,Kurta,799,0,"S,M,L,XL",FALSE,FALSE,50
,,,,,Women Yoke Design Rayon Kurta,"black rayon kurta with a mandarin collar, three-quarter sleeves featuring printed cuffs, and a patterned placket",Western Wear,Kurta,799,0,"S,M,L,XL",FALSE,FALSE,50
,,,,,Women Yoke Design Rayon Kurta,"emrald green rayon kurta with a mandarin collar, three-quarter sleeves featuring printed cuffs, and a patterned placket",Western Wear,Kurta,799,0,"S,M,L,XL",FALSE,FALSE,50
,,,,,WomenFloral Print Regular Cotton Kurta with Trousers,"light blue kurta set with large white floral prints, featuring three-quarter sleeves, a V-neckline, and matching printed straight pants",Indian Wear,Kurta Set,1499,0,"S,M,L,XL",FALSE,FALSE,50
,,,,,WomenFloral Print Regular Cotton Kurta with Trousers,"light purple kurta set with large white floral prints, featuring three-quarter sleeves, a V-neckline, and matching printed straight pants",Indian Wear,Kurta Set,1499,0,"S,M,L,XL",FALSE,FALSE,50
,,,,,WomenFloral Print Regular Cotton Kurta with Trousers,"peach kurta set with large red and beige floral prints, featuring three-quarter sleeves, a V-neckline, and matching printed straight pants",Indian Wear,Kurta Set,1499,0,"S,M,L,XL",FALSE,FALSE,50
,,,,,WomenFloral Print Regular Cotton Kurta with Trousers,"a bold purple and white floral damask pattern kurta featuring three-quarter sleeves, a V-neckline, and matching printed straight pants",Indian Wear,Kurta Set,1499,0,"S,M,L,XL",FALSE,FALSE,50
,,,,,WomenFloral Print Regular Cotton Kurta with Trousers,"a bold red and beige floral pattern kurta featuring three-quarter sleeves, a V-neckline, and matching printed straight pants",Indian Wear,Kurta Set,1499,0,"S,M,L,XL",TRUE,FALSE,50
,,,,,WomenFloral Print Regular Cotton Kurta with Trousers,"mustrad yellow base with beige floral pattern kurta featuring three-quarter sleeves, a V-neckline, and matching printed straight pants",Indian Wear,Kurta Set,1499,0,"S,M,L,XL",FALSE,FALSE,50
,,,,,WomenFloral Print Regular Cotton Kurta with Trousers,"brown base with beige floral pattern kurta featuring three-quarter sleeves, a V-neckline, and matching printed straight pants",Indian Wear,Kurta Set,1499,0,"S,M,L,XL",FALSE,FALSE,50
,,,,,WomenFloral Print Regular Pure Cotton Kurta with Trousers & With Dupatta,"brown rayon kurta set with a V-neck, button detailing, straight pants, and a matching patterned dupatta",Indian Wear,Suit Set,1599,0,"S,M,L,XL",FALSE,FALSE,50
,,,,,WomenFloral Print Regular Pure Cotton Kurta with Trousers & With Dupatta,"long kameez (tunic) with matching straight pants and a coordinated dupatta (scarf), all in a blue and white floral pattern",Indian Wear,Suit Set,1599,0,"S,M,L,XL",FALSE,FALSE,50
